data,meta_taxa_selic,taxa_selic,dolar_cambio_livre_p_tax,euro_cambio_livre,iene_cambio_livre
2000-01-01,19.0,,,,
2000-01-02,19.0,,,,
2000-01-03,19.0,0.069186,1.8011,1.85047,0.017745
2000-01-04,19.0,0.069186,1.8337,1.8915,0.01776
2000-01-05,19.0,0.06922,1.8544,1.91582,0.017775
2000-01-06,19.0,0.069286,1.8461,1.90761,0.017516
2000-01-07,19.0,0.069286,1.8281,1.88241,0.017366
2000-01-08,19.0,,,,
2000-01-09,19.0,,,,
2000-01-10,19.0,0.06912,1.8161,1.86588,0.01727
2000-01-11,19.0,0.068986,1.8219,1.88333,0.017198
2000-01-12,19.0,0.068819,1.8314,1.89096,0.017283
2000-01-13,19.0,0.068786,1.8193,1.86899,0.017143
2000-01-14,19.0,0.068719,1.7997,1.82887,0.017017
2000-01-15,19.0,,,,
2000-01-16,19.0,,,,
2000-01-17,19.0,0.068752,1.7957,1.81942,0.017117
2000-01-18,19.0,0.068686,1.7924,1.81895,0.016963
2000-01-19,19.0,0.068619,1.7984,1.82503,0.017076
2000-01-20,19.0,0.068619,1.7801,1.81269,0.016909
2000-01-21,19.0,0.068619,1.7784,1.79887,0.016968
2000-01-22,19.0,,,,
2000-01-23,19.0,,,,
2000-01-24,19.0,0.068619,1.7652,1.78056,0.016712
2000-01-25,19.0,0.068619,1.7741,1.77854,0.01675
2000-01-26,19.0,0.068619,1.7769,1.78223,0.0168
2000-01-27,19.0,0.068619,1.7753,1.75843,0.0169
2000-01-28,19.0,0.068652,1.7875,1.7512,0.016702
2000-01-29,19.0,,,,
2000-01-30,19.0,,,,
2000-01-31,19.0,0.068719,1.8024,1.75227,0.01678
2000-02-01,19.0,0.068619,1.7932,1.74835,0.016641
2000-02-02,19.0,0.068585,1.79,1.74988,0.016532
2000-02-03,19.0,0.068619,1.7779,1.76242,0.016502
2000-02-04,19.0,0.068652,1.7785,1.7511,0.016573
2000-02-05,19.0,,,,
2000-02-06,19.0,,,,
2000-02-07,19.0,0.068619,1.7659,1.73445,0.016252
2000-02-08,19.0,0.068619,1.7654,1.74456,0.016133
2000-02-09,19.0,0.068619,1.7632,1.75314,0.016164
2000-02-10,19.0,0.068619,1.7695,1.74879,0.016241
2000-02-11,19.0,0.068585,1.7647,1.74475,0.016228
2000-02-12,19.0,,,,
2000-02-13,19.0,,,,
2000-02-14,19.0,0.068619,1.7699,1.73749,0.016274
2000-02-15,19.0,0.068619,1.7764,1.74636,0.016297
2000-02-16,19.0,0.068619,1.7732,1.7528,0.016217
2000-02-17,19.0,0.068619,1.774,1.75643,0.016042
2000-02-18,19.0,0.068619,1.7705,1.74605,0.015954
2000-02-19,19.0,,,,
2000-02-20,19.0,,,,
2000-02-21,19.0,0.068619,1.7784,1.75847,0.015979
2000-02-22,19.0,0.068619,1.7825,1.79623,0.01611
2000-02-23,19.0,0.068619,1.7886,1.79593,0.01609
2000-02-24,19.0,0.068619,1.7779,1.76918,0.016004
2000-02-25,19.0,0.068619,1.7741,1.73079,0.0161
2000-02-26,19.0,,,,
2000-02-27,19.0,,,,
2000-02-28,19.0,0.068619,1.7788,1.73128,0.016247
2000-02-29,19.0,0.068619,1.7685,1.70887,0.016049
2000-03-01,19.0,0.068652,1.7678,1.72447,0.016505
2000-03-02,19.0,0.068686,1.76,1.70189,0.016332
2000-03-03,19.0,0.068652,1.7511,1.68417,0.016257
2000-03-04,19.0,,,,
2000-03-05,19.0,,,,
2000-03-06,19.0,,,,
2000-03-07,19.0,,,,
2000-03-08,19.0,0.068619,1.7498,1.68432,0.016325
2000-03-09,19.0,0.068619,1.7343,1.67808,0.016262
2000-03-10,19.0,0.068686,1.7386,1.67772,0.016361
2000-03-11,19.0,,,,
2000-03-12,19.0,,,,
2000-03-13,19.0,0.068652,1.7502,1.69101,0.016574
2000-03-14,19.0,0.068652,1.7372,1.68401,0.016519
2000-03-15,19.0,0.068652,1.7431,1.68938,0.016501
2000-03-16,19.0,0.068652,1.7357,1.68812,0.016439
2000-03-17,19.0,0.068652,1.7407,1.69577,0.016318
2000-03-18,19.0,,,,
2000-03-19,19.0,,,,
2000-03-20,19.0,0.068652,1.7388,1.69513,0.016349
2000-03-21,19.0,0.068619,1.7381,1.67393,0.016282
2000-03-22,19.0,0.068652,1.7305,1.66575,0.016169
2000-03-23,19.0,0.068752,1.7242,1.679,0.016059
2000-03-24,19.0,0.068853,1.7234,1.68736,0.016119
2000-03-25,19.0,,,,
2000-03-26,19.0,,,,
2000-03-27,19.0,0.069153,1.7362,1.68113,0.016266
2000-03-28,19.0,0.068619,1.7456,1.68046,0.016496
2000-03-29,18.5,0.067716,1.7379,1.65705,0.016438
2000-03-30,18.5,0.067716,1.7522,1.68734,0.016631
2000-03-31,18.5,0.067448,1.7473,1.67353,0.017027
2000-04-01,18.5,,,,
2000-04-02,18.5,,,,
2000-04-03,18.5,0.067347,1.7407,1.66425,0.016605
2000-04-04,18.5,0.067481,1.7425,1.67468,0.016542
2000-04-05,18.5,0.067883,1.7532,1.68918,0.01672
2000-04-06,18.5,0.067917,1.7423,1.6731,0.016632
2000-04-07,18.5,0.06785,1.7439,1.66887,0.016544
2000-04-08,18.5,,,,
2000-04-09,18.5,,,,
2000-04-10,18.5,0.067682,1.7387,1.67677,0.016337
2000-04-11,18.5,0.067883,1.7448,1.67585,0.016322
2000-04-12,18.5,0.06785,1.7471,1.67771,0.016518
2000-04-13,18.5,0.067883,1.7633,1.68338,0.01665
2000-04-14,18.5,0.06785,1.7833,1.71925,0.017021
2000-04-15,18.5,,,,
2000-04-16,18.5,,,,
2000-04-17,18.5,0.067883,1.7873,1.70558,0.0171
2000-04-18,18.5,0.067816,1.7696,1.67559,0.016897
2000-04-19,18.5,0.067515,1.7662,1.66353,0.016857
2000-04-20,18.5,0.067883,1.7784,1.67182,0.016822
2000-04-21,18.5,,,,
2000-04-22,18.5,,,,
2000-04-23,18.5,,,,
2000-04-24,18.5,0.067783,1.7916,1.68315,0.016934
2000-04-25,18.5,0.067749,1.7888,1.6501,0.016832
2000-04-26,18.5,0.06785,1.7985,1.66426,0.016926
2000-04-27,18.5,0.067883,1.8083,1.64819,0.016996
2000-04-28,18.5,0.067783,1.8067,1.65088,0.016708
2000-04-29,18.5,,,,
2000-04-30,18.5,,,,
2000-05-01,18.5,,,,
2000-05-02,18.5,0.067716,1.8008,1.64189,0.016616
2000-05-03,18.5,0.06785,1.8162,1.62758,0.016657
2000-05-04,18.5,0.06785,1.8144,1.61671,0.016796
2000-05-05,18.5,0.06785,1.8118,1.6289,0.01669
2000-05-06,18.5,,,,
2000-05-07,18.5,,,,
2000-05-08,18.5,0.067682,1.8058,1.62386,0.016575
